number,value,state,params_batch_size,params_dense_units,params_dropout_1,params_dropout_2,params_dropout_3,params_filters_1,params_filters_2,params_kernel_1,params_kernel_2,params_lr,datetime_start,datetime_complete
0,0.6714285612106323,COMPLETE,32,1024,0.42788967625344393,0.43731032087663735,0.4168542149903996,256,1024,6,5,1.420044643229234e-05,2025-10-15 19:58:19.372123,2025-10-15 19:59:01.483109
1,0.800000011920929,COMPLETE,32,512,0.4244148737162609,0.4515032694645025,0.39714195909935807,256,1024,6,5,0.0010860266356751843,2025-10-15 19:58:19.375309,2025-10-15 19:59:01.425258
2,0.7685714364051819,COMPLETE,128,1024,0.31111175296155585,0.41530944007370457,0.33710901612084604,128,256,3,4,0.0002587668357492214,2025-10-15 19:58:19.418892,2025-10-15 19:58:48.657800
3,0.7371428608894348,COMPLETE,32,1024,0.3089847940098268,0.5297032137251771,0.41047473799140066,128,512,6,4,1.5044132512174953e-05,2025-10-15 19:58:19.434262,2025-10-15 19:58:51.398404
4,0.800000011920929,COMPLETE,64,512,0.3442323256845378,0.442766946777552,0.36758172384584603,512,1024,5,4,0.00019585171304609678,2025-10-15 19:58:48.732233,2025-10-15 19:59:19.802967
5,0.7657142877578735,COMPLETE,32,512,0.419771351282942,0.363377372394651,0.5696011278185924,128,1024,7,7,0.00014647928095524993,2025-10-15 19:58:51.646366,2025-10-15 19:59:26.944354
6,0.7628571391105652,COMPLETE,32,1024,0.3986430075643866,0.4759226085360445,0.3101445112775849,256,256,4,3,0.005780011798776743,2025-10-15 19:59:01.566021,2025-10-15 19:59:29.764662
7,0.7685714364051819,COMPLETE,128,512,0.5181032491571317,0.39394137878901603,0.47281562512382214,512,1024,7,5,0.00018398337453267219,2025-10-15 19:59:01.680901,2025-10-15 19:59:41.076849
8,0.7685714364051819,COMPLETE,64,512,0.5681032641544177,0.4472328884121898,0.3724434424798554,128,1024,7,4,0.00018824785942910067,2025-10-15 19:59:19.891465,2025-10-15 19:59:43.680314
9,0.7628571391105652,COMPLETE,32,1024,0.448087190447468,0.49972803139681793,0.3235575567862958,256,1024,3,5,0.002071171037170476,2025-10-15 19:59:27.125232,2025-10-15 19:59:50.886790
